web_scraper_order,web_scraper_start_url,pagination,data,title,data2
"1789836284-33","https://www.expressio.fr/toutes-les-expressions","","entre chien et loup","à la tombée du jour ; à la tombée de la nuit ; à l'heure bleue ; au crépuscule ; à l'heure crépusculaire ; à l'heure où les objets se confondent ; sur la brune ; au crépuscule le plus sombre","adv"
"1789836284-34","https://www.expressio.fr/toutes-les-expressions","","décrocher le cocotier","obtenir un objet convoité ; parvenir à ses fins ; triompher ; remporter un concours ; remporte un prix ; remporter un résultat important","v"
"1789836284-35","https://www.expressio.fr/toutes-les-expressions","","arriver comme les carabiniers","arriver en retard lorsque tout est terminé ; arriver après la bataille ; arriver comme des figues après Pâques ; arriver comme le marquis de Couille-Verte ; arriver trop tard","v"
"1789836284-36","https://www.expressio.fr/toutes-les-expressions","","payer en monnaie de singe","payer en fausse monnaie au lieu de payer réellement ; escroquer ; ne pas payer réellement ; arnaquer ; payer par de belles paroles ; payer par des promesses creuses","v"
"1789836284-37","https://www.expressio.fr/toutes-les-expressions","","autant en emporte le vent","choses auxquelles on s'engage qu'on n'exécute jamais ; promesses qui ne seront pas tenues","exp"
"1789836284-38","https://www.expressio.fr/toutes-les-expressions","","battre la semelle","attendre en marchant ; se réchauffer ; attendre ; patienter en marchant ; marcher beaucoup à la recherche de quelqu'un ou quelque chose ; taper du pied pour se réchauffer ; sautiller en cadence ; lever alternativement les jambes de manière à frapper les semelles","v"
"1789836284-39","https://www.expressio.fr/toutes-les-expressions","","faire semblant","simuler ; paraître ; prétendre ; imiter ; se donner l'apparence de faire quelque chose ; simuler une attitude pour donner le change ; feindre","v"
"1789836284-40","https://www.expressio.fr/toutes-les-expressions","","avoir un polichinelle dans le tiroir","être enceinte ; avoir le gros ventre ; avoir une brioche au four ; être en cloque ; attendre un enfant ; avoir le ballon ; être grosse","v"
"1789836284-41","https://www.expressio.fr/toutes-les-expressions","","défendre son pré carré","défendre son domaine ; défendre son territoire réservé et les éventuelles prérogatives qui s'y attachent ; protéger son territoire","v"
"1789836284-42","https://www.expressio.fr/toutes-les-expressions","","faire un four","échouer ; ne pas avoir de succès ; être en situation d'échec ; subir un échec","v"
"1789836284-43","https://www.expressio.fr/toutes-les-expressions","","la fête à Neuneu","désigne tout simplement une fête foraine","exp"
"1789836284-44","https://www.expressio.fr/toutes-les-expressions","","être dans les vapes","somnoler ; être abruti par l'alcool ; être embrumé ; dans l'abrutissement causé par la fatigue, l'alcool ou diverses substances illicites ; groggy ; évanoui ; inconscient ; sonné ; sans connaissance ; être dans le brouillard","v"
"1789836284-45","https://www.expressio.fr/toutes-les-expressions","","l'abbaye de Monte-à-Regret","la potence ; la guillotine","n"
"1789836284-46","https://www.expressio.fr/toutes-les-expressions","","par monts et par vaux","partout ; un peu partout ; de tous côtés ; en vadrouille ; dans tous les sens","adv"
"1789836284-47","https://www.expressio.fr/toutes-les-expressions","","mettre la main à la pâte","participer au travail ; aider pour ce qu'il y a à faire ; participer ; donner un coup de main ; aider ; participer à la tâche ; travailler soi-même à quelque chose ; s’engager dans une action concrète","v"
"1789836284-48","https://www.expressio.fr/toutes-les-expressions","","rouler dans la farine","duper ; tromper ; berner","v"
"1789836284-49","https://www.expressio.fr/toutes-les-expressions","","l'habit ne fait pas le moine","les apparences peuvent être trompeuses ; il faut s'abstenir de ne juger les gens qu'à leur apparence","exp"
"1789836284-50","https://www.expressio.fr/toutes-les-expressions","","joindre les deux bouts","gagner suffisamment d’argent pour assurer une vie décente entre deux versements de salaire ou deux rétributions ; gagner sa vie ; assurer sa subsistance ; arriver à finir le mois financièrement ; avoir suffisamment d'argent pour assumer toutes ses dépenses ; boucler son budget ; arriver à équilibrer le budget avec son salaire du mois ; gagner votre vie","v"
